time,logger,level,message,exception
2012-01-14 14:14:16.7987,Raven.Database.Server.HttpServer,Warn,Error on request,"System.Net.HttpListenerException (0x80004005): The device does not recognize the command
   at System.Net.HttpResponseStream.Write(Byte[] buffer, Int32 offset, Int32 size)
   at System.IO.Compression.DeflateStream.InternalWrite(Byte[] array, Int32 offset, Int32 count, Boolean isAsync)
   at System.IO.Compression.DeflateStream.Write(Byte[] array, Int32 offset, Int32 count)
   at System.IO.Compression.GZipStream.Write(Byte[] array, Int32 offset, Int32 count)
   at System.IO.Stream.InternalCopyTo(Stream destination, Int32 bufferSize)
   at System.IO.Stream.CopyTo(Stream destination)
   at Raven.Database.Server.Abstractions.HttpListenerResponseAdapter.WriteFile(String path) in c:\Builds\raven\Raven.Database\Server\Abstractions\HttpListenerResponseAdapter.cs:line 75
   at Raven.Database.Extensions.HttpExtensions.WriteFile(IHttpContext context, String filePath) in c:\Builds\raven\Raven.Database\Extensions\HttpExtensions.cs:line 447
   at Raven.Database.Server.Responders.SilverlightUI.Respond(IHttpContext context) in c:\Builds\raven\Raven.Database\Server\Responders\SilverlightUI.cs:line 46
   at Raven.Database.Server.HttpServer.DispatchRequest(IHttpContext ctx) in c:\Builds\raven\Raven.Database\Server\HttpServer.cs:line 477
   at Raven.Database.Server.HttpServer.HandleActualRequest(IHttpContext ctx) in c:\Builds\raven\Raven.Database\Server\HttpServer.cs:line 259"
2012-01-14 14:14:16.7987,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     - 7.284 ms - <default>  - 500 - /silverlight/Raven.Studio.xap,
2012-01-14 14:14:23.9289,Raven.Database.Server.HttpServer,Error,"Failed to properly handle error, further error handling is ignored","System.Net.HttpListenerException (0x80004005): An operation was attempted on a nonexistent network connection
   at System.Net.HttpResponseStream.Write(Byte[] buffer, Int32 offset, Int32 size)
   at System.IO.Compression.DeflateStream.InternalWrite(Byte[] array, Int32 offset, Int32 count, Boolean isAsync)
   at System.IO.Compression.DeflateStream.Write(Byte[] array, Int32 offset, Int32 count)
   at System.IO.Compression.GZipStream.Write(Byte[] array, Int32 offset, Int32 count)
   at System.IO.Stream.InternalCopyTo(Stream destination, Int32 bufferSize)
   at System.IO.Stream.CopyTo(Stream destination)
   at Raven.Database.Server.Abstractions.HttpListenerResponseAdapter.WriteFile(String path) in c:\Builds\raven\Raven.Database\Server\Abstractions\HttpListenerResponseAdapter.cs:line 75
   at Raven.Database.Extensions.HttpExtensions.WriteFile(IHttpContext context, String filePath) in c:\Builds\raven\Raven.Database\Extensions\HttpExtensions.cs:line 447
   at Raven.Database.Server.Responders.SilverlightUI.Respond(IHttpContext context) in c:\Builds\raven\Raven.Database\Server\Responders\SilverlightUI.cs:line 46
   at Raven.Database.Server.HttpServer.DispatchRequest(IHttpContext ctx) in c:\Builds\raven\Raven.Database\Server\HttpServer.cs:line 477
   at Raven.Database.Server.HttpServer.HandleActualRequest(IHttpContext ctx) in c:\Builds\raven\Raven.Database\Server\HttpServer.cs:line 259"
2012-01-14 14:14:23.9590,Raven.Database.Server.HttpServer,Warn,Error on request,"System.Net.HttpListenerException (0x80004005): An operation was attempted on a nonexistent network connection
   at System.Net.HttpResponseStream.Write(Byte[] buffer, Int32 offset, Int32 size)
   at System.IO.Compression.DeflateStream.InternalWrite(Byte[] array, Int32 offset, Int32 count, Boolean isAsync)
   at System.IO.Compression.DeflateStream.Write(Byte[] array, Int32 offset, Int32 count)
   at System.IO.Compression.GZipStream.Write(Byte[] array, Int32 offset, Int32 count)
   at System.IO.Stream.InternalCopyTo(Stream destination, Int32 bufferSize)
   at System.IO.Stream.CopyTo(Stream destination)
   at Raven.Database.Server.Abstractions.HttpListenerResponseAdapter.WriteFile(String path) in c:\Builds\raven\Raven.Database\Server\Abstractions\HttpListenerResponseAdapter.cs:line 75
   at Raven.Database.Extensions.HttpExtensions.WriteFile(IHttpContext context, String filePath) in c:\Builds\raven\Raven.Database\Extensions\HttpExtensions.cs:line 447
   at Raven.Database.Server.Responders.SilverlightUI.Respond(IHttpContext context) in c:\Builds\raven\Raven.Database\Server\Responders\SilverlightUI.cs:line 46
   at Raven.Database.Server.HttpServer.DispatchRequest(IHttpContext ctx) in c:\Builds\raven\Raven.Database\Server\HttpServer.cs:line 477
   at Raven.Database.Server.HttpServer.HandleActualRequest(IHttpContext ctx) in c:\Builds\raven\Raven.Database\Server\HttpServer.cs:line 259"
2012-01-14 14:14:24.0191,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -   237 ms - <default>  - 500 - /silverlight/Raven.Studio.xap,
2012-01-14 14:14:32.6014,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -    32 ms - <default>  - 200 - /docs?pageSize=0&noCache=675957378,
2012-01-14 14:14:32.7016,Raven.Database.Server.HttpServer,Debug,Request #   4: GET     -     8 ms - <default>  - 200 - /docs?pageSize=0&noCache=646658595,
2012-01-14 14:14:32.7516,Raven.Database.Server.HttpServer,Debug,Request #   5: GET     -    43 ms - <default>  - 200 - /build/version?noCache=-446113057,
2012-01-14 14:14:32.8618,Raven.Database.Server.HttpServer,Debug,Request #   6: GET     -    10 ms - <default>  - 200 - /docs?pageSize=0&noCache=149307991,
2012-01-14 14:14:32.9319,Raven.Database.Server.HttpServer,Debug,Request #   7: GET     -    29 ms - <default>  - 200 - /license/status?noCache=1903828404,
2012-01-14 14:14:33.8132,Raven.Database.Server.HttpServer,Debug,Request #   8: GET     -   377 ms - <default>  - 200 - /stats?noCache=1474008531,
2012-01-14 14:14:45.3998,Raven.Database.Server.HttpServer,Debug,Request #   9: GET     -    60 ms - <default>  - 200 - /stats?noCache=-1436171944,
2012-01-14 14:14:45.4799,Raven.Database.Server.HttpServer,Debug,Request #  10: GET     -    37 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=-849514950,
2012-01-14 14:14:51.3684,Raven.Database.Server.HttpServer,Debug,Request #  11: GET     -    48 ms - <default>  - 200 - /stats?noCache=49315338,
2012-01-14 14:15:02.9350,Raven.Database.Server.HttpServer,Debug,Request #  12: GET     -    55 ms - <default>  - 200 - /stats?noCache=1314210628,
2012-01-14 14:15:09.0138,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -    28 ms - <default>  - 200 - /stats?noCache=-2072501390,
2012-01-14 14:15:18.7978,Raven.Database.Server.HttpServer,Debug,Request #  14: GET     -     2 ms - <default>  - 200 - /docs?pageSize=0&noCache=16715602,
2012-01-14 14:15:19.4688,Raven.Database.Server.HttpServer,Debug,Request #  15: GET     -     1 ms - <default>  - 200 - /docs?pageSize=0&noCache=717383962,
2012-01-14 14:15:19.4989,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -     7 ms - <default>  - 200 - /build/version?noCache=1313433521,
